序号,标题,房型,面积,朝向,楼层,建造时间,每平方米/万元,总房价,地址
0,新（售楼部 直销处）来电咨询可享8.5折上折 价格有的谈,2室2厅1卫,76㎡,南北,高层(共26层),2020年建造,19422元/㎡,147.6万,通州-通州周边-漷小路
1,长阳首付74万全南两居二次装修（30万） 入手即住只有契税,2室1厅1卫,85.8㎡,南,低层(共16层),2011年建造,30205元/㎡,259万,房山-长阳-昊天北大街48号
2,通州现房 十里春风 采光好 带车位 看房方便可接 可公积金,2室2厅1卫,72㎡,南北,高层(共27层),2019年建造,21528元/㎡,155万,通州-通州周边-漷小路
3,十里春风，新房现房，南北通透两居室，刚需，低首付，看房有班车,2室2厅1卫,76㎡,南北,低层(共27层),2018年建造,19737元/㎡,150万,通州-通州周边-漷小路
4,北京通州城市副中心 南北通透一梯两户 现房   即住 刚需盘,2室2厅1卫,72㎡,南北,高层(共27层),2018年建造,20834元/㎡,150万,通州-通州周边-漷小路
5,房山良乡，昊天温泉家园，两室一厅，南北通透，集中供暖，急售,2室1厅1卫,78.2㎡,东西,中层(共6层),2000年建造,26215元/㎡,205万,房山-良乡-房山区良乡昊天大街114号
6,1665万 西湖新村 776平独栋别墅 北七家科学城 法拍房,6室3厅3卫,776.8㎡,南北,共3层,1996年建造,38493元/㎡,2990万,昌平-小汤山南-立汤路
7,北京通州台湖南 现房 特惠房源 有车位 来电享优惠看房有班车,2室2厅1卫,72㎡,南北,中层(共27层),2018年建造,20834元/㎡,150万,通州-通州周边-漷小路
8,收费1个点 首付100万 炫特嘉园 低总价一居 购房节约成本,1室0厅1卫,40㎡,北,中层(共25层),2004年建造,66250元/㎡,265万,朝阳-石佛营-石佛营东路
9,金台路地铁口，南向一居室，精装，随时看房,1室1厅1卫,42.2㎡,南,高层(共6层),1982年建造,64057元/㎡,270万,朝阳-团结湖-水碓子中路
10,城市副中心南，实景现房！全明格局南北三居，前后花园，首期十万,3室2厅1卫,89㎡,南北,低层(共27层),2021年建造,18877元/㎡,168万,通州-通州周边-漷小路
11,（售楼处，专车看房）首期十万现房发售，带车位，南北两居看花园,2室2厅1卫,78㎡,南北,高层(共27层),2019年建造,20513元/㎡,160万,通州-通州周边-漷小路
12,宾阳北里三层。实用三居室。。户型好，买了不上当,3室2厅1卫,83.5㎡,南北,中层(共6层),2000年建造,24917元/㎡,208万,密云-密云城区-新东路
13,21世纪店庆1.5，南北通透2居,2室2厅1卫,89㎡,南北,高层(共22层),2013年建造,46742元/㎡,416万,朝阳-垡头-双合中路3号
14,通州环球影城南 十里春风现房南北通透带车位 看房方便 可接,2室2厅1卫,78㎡,南北,中层(共27层),2019年建造,20257元/㎡,158万,通州-通州周边-漷小路
